ra,dec,day,month,year,mjd,nu,nu_error,period,period_dot
83.63322,22.01446,15,JAN,2001,51924,29.83386052,1E-10, 0.0335189608,4.2052E-13
83.63322,22.01446,15,FEB,2001,51955,29.83285807,1E-10, 0.0335200871,4.20514E-13
83.63322,22.01446,15,MAR,2001,51983,29.83195269,2E-10, 0.0335211044,4.20519E-13
83.63322,22.01446,15,APR,2001,52014,29.83095036,2E-10, 0.0335222307,4.20519E-13
83.63322,22.01446,15,MAY,2001,52044,29.82998044,1E-10, 0.0335233207,4.20515E-13
83.63322,22.01446,15,JUN,2001,52075,29.82897828,3E-10, 0.0335244469,4.20501E-13
83.63322,22.01446,15,JUL,2001,52105,29.82800869,6E-10, 0.0335255367,4.20613E-13
83.63322,22.01446,15,AUG,2001,52136,29.82700651,2E-10, 0.0335266632,4.20566E-13
83.63322,22.01446,15,SEP,2001,52167,29.82600447,4E-10, 0.0335277895,4.20566E-13
83.63322,22.01446,15,OCT,2001,52197,29.82503473,3E-10, 0.0335288796,4.20573E-13
83.63322,22.01446,15,NOV,2001,52228,29.82403276,3E-10, 0.0335300061,4.20562E-13
83.63322,22.01446,15,DEC,2001,52258,29.82306319,4E-10, 0.0335310962,4.20557E-13
83.63322,22.01446,15,JAN,2002,52289,29.82206137,4E-10, 0.0335322226,4.20549E-13
83.63322,22.01446,15,FEB,2002,52320,29.82105965,8E-10, 0.0335333490,4.20543E-13
83.63322,22.01446,15,MAR,2002,52348,29.82015493,2E-10, 0.0335343664,4.20539E-13
83.63322,22.01446,15,APR,2002,52379,29.81915332,3E-10, 0.0335354928,4.20545E-13
83.63322,22.01446,15,MAY,2002,52409,29.8181841,2E-10, 0.0335365828,4.20533E-13
83.63322,22.01446,15,JUN,2002,52440,29.81718266,2E-10, 0.0335377092,4.20525E-13
83.63322,22.01446,15,JUL,2002,52470,29.8162136,2E-10, 0.0335387992,4.2054E-13
83.63322,22.01446,15,AUG,2002,52501,29.81521232,0.000000001, 0.0335399255,4.20545E-13
83.63322,22.01446,15,SEP,2002,52532,29.81421104,1E-10, 0.0335410519,4.20537E-13
83.63322,22.01446,15,OCT,2002,52562,29.81324216,3E-10, 0.0335421419,4.20527E-13
83.63322,22.01446,15,NOV,2002,52593,29.8122411,4E-10, 0.0335432682,4.20535E-13
83.63322,22.01446,15,DEC,2002,52623,29.81127235,2E-10, 0.0335443583,4.20537E-13
83.63322,22.01446,15,JAN,2003,52654,29.81027139,2E-10, 0.0335454846,4.20522E-13
83.63322,22.01446,15,FEB,2003,52685,29.80927051,2E-10, 0.0335466109,4.20508E-13
83.63322,22.01446,15,MAR,2003,52713,29.80836658,5E-10, 0.0335476282,4.20501E-13
83.63322,22.01446,15,APR,2003,52744,29.80736585,3E-10, 0.0335487545,4.20512E-13
83.63322,22.01446,15,MAY,2003,52774,29.80639747,2E-10, 0.0335498445,4.20511E-13
83.63322,22.01446,15,JUN,2003,52805,29.80539689,1E-10, 0.0335509708,4.20502E-13
83.63322,22.01446,15,JLY,2003,52835,29.80442865,1E-10, 0.0335520607,4.20507E-13
83.63322,22.01446,15,AUG,2003,52866,29.80342823,2E-10, 0.0335531870,4.20495E-13
83.63322,22.01446,15,SEP,2003,52897,29.80242787,1E-10, 0.0335543132,4.20503E-13
83.63322,22.01446,15,OCT,2003,52927,29.80145987,1E-10, 0.0335554031,4.20481E-13
83.63322,22.01446,15,NOV,2003,52958,29.80045968,1E-10, 0.0335565294,4.20482E-13
83.63322,22.01446,15,DEC,2003,52988,29.79949182,2E-10, 0.0335576192,4.20469E-13
83.63322,22.01446,15,JAN,2004,53019,29.79849178,2E-10, 0.0335587454,4.20479E-13
83.63322,22.01446,15,FEB,2004,53050,29.79749181,2E-10, 0.0335598716,4.20474E-13
83.63322,22.01446, 7,MAR,2004,53071,29.79682007,3.6E-09, 0.0335606282,4.22764E-13
83.63322,22.01446,15,MAR,2004,53079,29.79656062,1.3E-09, 0.0335609204,4.22488E-13
83.63322,22.01446,26,MAR,2004,53090,29.79620439,1.3E-09, 0.0335613217,4.21844E-13
83.63322,22.01446, 5,APR,2004,53100,29.79588095,9E-10, 0.0335616860,4.21427E-13
83.63322,22.01446,15,APR,2004,53110,29.79555779,9E-10, 0.0335620500,4.21196E-13
83.63322,22.01446,25,APR,2004,53120,29.79523481,5E-10, 0.0335624138,4.20959E-13
83.63322,22.01446, 8,MAY,2004,53133,29.79481512,8.5E-09, 0.0335628866,4.20832E-13
83.63322,22.01446,22,MAY,2004,53147,29.7943633,4E-10, 0.0335633955,4.20764E-13
83.63322,22.01446,15,JUN,2004,53171,29.79358886,2E-10, 0.0335642680,4.20705E-13
83.63322,22.01446,15,JLY,2004,53201,29.79262095,1E-10, 0.0335653584,4.20684E-13
83.63322,22.01446,15,AUG,2004,53232,29.79162088,2E-10, 0.0335664852,4.20669E-13
83.63322,22.01446,15,SEP,2004,53263,29.79062103,3E-10, 0.0335676117,4.20674E-13
83.63322,22.01446,15,OCT,2004,53293,29.78965339,1E-10, 0.0335687021,4.20653E-13
83.63322,22.01446,15,NOV,2004,53324,29.78865359,4E-10, 0.0335698288,4.2064E-13
83.63322,22.01446,15,DEC,2004,53354,29.78768611,1E-10, 0.0335709191,4.2064E-13
83.63322,22.01446,15,JAN,2005,53385,29.78668648,3E-10, 0.0335720457,4.20627E-13
83.63322,22.01446,15,FEB,2005,53416,29.78568695,1E-10, 0.0335731723,4.20625E-13
83.63322,22.01446,15,MAR,2005,53444,29.78478418,1E-10, 0.0335741899,4.20633E-13
83.63322,22.01446,15,APR,2005,53475,29.78378479,1E-10, 0.0335753165,4.20604E-13
83.63322,22.01446,15,MAY,2005,53505,29.7828177,1E-10, 0.0335764067,4.20621E-13
83.63322,22.01446,15,JUN,2005,53536,29.78181845,2E-10, 0.0335775333,4.2059E-13
83.63322,22.01446,15,JLY,2005,53566,29.78085154,1E-10, 0.0335786235,4.2061E-13
83.63322,22.01446,15,AUG,2005,53597,29.77985245,1E-10, 0.0335797500,4.20586E-13
83.63322,22.01446,15,SEP,2005,53628,29.77885345,1E-10, 0.0335808765,4.20591E-13
83.63322,22.01446,15,OCT,2005,53658,29.77788674,1E-10, 0.0335819667,4.20583E-13
83.63322,22.01446,15,NOV,2005,53689,29.77688788,1E-10, 0.0335830932,4.20593E-13
83.63322,22.01446,15,DEC,2005,53719,29.77592131,1E-10, 0.0335841833,4.20578E-13
83.63322,22.01446,15,JAN,2006,53750,29.77492263,1E-10, 0.0335853098,4.2057E-13
83.63322,22.01446,15,FEB,2006,53781,29.77392401,1E-10, 0.0335864362,4.20563E-13
83.63322,22.01446,15,MAR,2006,53809,29.77302213,2E-10, 0.0335874536,4.20541E-13
83.63322,22.01446,15,APR,2006,53840,29.77202367,2E-10, 0.0335885800,4.20554E-13
83.63322,22.01446,15,MAY,2006,53870,29.77105751,1E-10, 0.0335896701,4.20552E-13
83.63322,22.01446,15,JUN,2006,53901,29.77005922,1E-10, 0.0335907965,4.20534E-13
83.63322,22.01446,15,JLY,2006,53931,29.76909321,1E-10, 0.0335918865,4.20532E-13
