ra,dec,lii,bii,day,month,year,mjd,mit_time,jpl_time,t_acc,nu,nu_error,nu_dot,nu_dot_error,period,period_dot,dm,dm_flag,dm_dot,delay,note_number
83.63322,22.01446,184.55755,-5.78427,15,FEB,1982,45015,0.028682,0.021592,100,30.05922411,3E-10,-3.81009E-10,9.2E-16, 0.0332676584,4.21677E-13,56.834,,, 100,
83.63322,22.01446,184.55755,-5.78427,15,MAR,1982,45043,0.025779,0.018609,100,30.05830244,2E-10,-3.8096E-10,5.5E-16, 0.0332686785,4.21648E-13,56.837,,, 100,
83.63322,22.01446,184.55755,-5.78427,15,APR,1982,45074,0.033204,0.026111, 50,30.05728208,9E-10,-3.80937E-10,1.57E-15, 0.0332698079,4.21652E-13,56.83,,, 100,
83.63322,22.01446,184.55755,-5.78427,15,MAY,1982,45104,0.014496,0.007626, 50,30.05629475,5E-10,-3.80909E-10,9.6E-16, 0.0332709008,4.21648E-13,56.818,,, 100,
83.63322,22.01446,184.55755,-5.78427,15,JUN,1982,45135,0.027443,0.020887,600,30.05527458,1.9E-09,-3.80835E-10,5.26E-15, 0.0332720301,4.21594E-13,56.836,,, 100,
83.63322,22.01446,184.55755,-5.78427,15,JUL,1982,45165,0.015563,0.009312, 60,30.05428744,2E-10,-3.8082E-10,5.7E-16, 0.0332731229,4.21606E-13,56.823,,, 100,
83.63322,22.01446,184.55755,-5.78427,15,AUG,1982,45196,0.030831,0.024812, 50,30.05326748,4E-10,-3.808E-10,1.26E-15, 0.0332742521,4.21613E-13,56.82,,, 100,
83.63322,22.01446,184.55755,-5.78427,15,SEP,1982,45227,0.005138,0.032439,200,30.05224758,2E-10,-3.80789E-10,8.9E-16, 0.0332753814,4.21629E-13,56.822,,, 100,
83.63322,22.01446,184.55755,-5.78427,15,OCT,1982,45257,0.013639,0.007598,200,30.0512607,1E-10,-3.80755E-10,2.9E-16, 0.0332764742,4.21619E-13,56.821,,, 100,
83.63322,22.01446,184.55755,-5.78427,15,NOV,1982,45288,0.014998,0.00868, 50,30.05024094,5E-10,-3.80712E-10,5.9E-16, 0.0332776034,4.216E-13,56.825,,, 100,
83.63322,22.01446,184.55755,-5.78427,15,DEC,1982,45318,0.026893,0.020227, 20,30.04925417,4E-10,-3.80683E-10,6.6E-16, 0.0332786962,4.21596E-13,56.8,,, 100,
83.63322,22.01446,184.55755,-5.78427,15,JAN,1983,45349,0.029096,0.022071, 50,30.04823459,2E-10,-3.80657E-10,6.5E-16, 0.0332798254,4.21596E-13,56.813,,, 100,
83.63322,22.01446,184.55755,-5.78427,15,FEB,1983,45380,0.023077,0.015796,100,30.04721509,4E-10,-3.8061E-10,1.65E-15, 0.0332809546,4.21572E-13,56.807,,, 100,
